time,type,number,queueLength,totalPacketLoss
1.0099,1,1,1,0
1.88176,1,2,2,0
2.84552,0,1,1,0
3.06505,1,3,2,0
3.22926,0,2,1,0
3.24497,0,3,0,0
7.41569,1,4,1,0
7.7629,1,5,2,0
8.29298,0,4,1,0
8.73099,1,6,2,0
8.85231,1,7,3,0
9.46741,0,5,2,0
9.64599,0,6,1,0
9.81924,0,7,0,0
13.4546,1,8,1,0
14.2161,0,8,0,0
15.308,1,9,1,0
15.9373,1,10,2,0
16.1819,0,9,1,0
16.5292,0,10,0,0
16.9275,1,11,1,0
17.6366,1,12,2,0
17.7937,1,13,3,0
18.2837,0,11,2,0
18.832,1,14,3,0
20.2313,0,12,2,0
21.3185,0,13,1,0
23.1924,0,14,0,0
24.5256,1,15,1,0
24.5283,0,15,0,0
25.7668,1,16,1,0
26.5273,0,16,0,0
28.868,1,17,1,0
29.1767,0,17,0,0
36.9881,1,18,1,0
37.3545,0,18,0,0
38.825,1,19,1,0
39.3026,1,20,2,0
39.7633,0,19,1,0
40.1266,0,20,0,0
43.6439,1,21,1,0
43.8086,0,21,0,0
44.4678,1,22,1,0
44.958,0,22,0,0
46.5313,1,23,1,0
47.9319,0,23,0,0
48.382,1,24,1,0
49.1405,0,24,0,0
49.612,1,25,1,0
50.4046,1,26,2,0
50.669,0,25,1,0
51.1279,0,26,0,0
56.2559,1,27,1,0
56.2708,1,28,2,0
57.7246,1,29,3,0
58.3617,1,30,4,0
58.4109,1,31,5,0
59.1364,0,27,4,0
59.3657,0,28,3,0
60.2036,1,32,4,0
60.326,1,33,5,0
60.9305,1,34,6,0
61.4669,0,29,5,0
61.652,1,35,6,0
63.0311,1,36,7,0
63.6879,0,30,6,0
64.0254,0,31,5,0
65.507,1,37,6,0
66.0273,0,32,5,0
66.6407,0,33,4,0
67.7582,1,38,5,0
69.8505,0,34,4,0
70.323,0,35,3,0
70.5826,0,36,2,0
70.7386,1,39,3,0
71.0203,0,37,2,0
71.4529,1,40,3,0
72.1283,0,38,2,0
72.9629,0,39,1,0
73.9914,1,41,2,0
74.7028,0,40,1,0
74.982,1,42,2,0
76.4108,0,41,1,0
76.6098,0,42,0,0
78.6979,1,43,1,0
79.8043,1,44,2,0
81.275,1,45,3,0
81.4108,1,46,4,0
81.5696,0,43,3,0
83.7116,0,44,2,0
85.1445,0,45,1,0
85.6535,0,46,0,0
86.3062,1,47,1,0
87.4718,0,47,0,0
89.1734,1,48,1,0
89.441,1,49,2,0
89.6926,0,48,1,0
89.9442,0,49,0,0
90.7668,1,50,1,0
92.2718,1,51,2,0
92.2747,1,52,3,0
