time,type,number,queueLength,totalPacketLoss
0.561057,1,1,1,0
1.04542,1,2,2,0
1.7028,1,3,3,0
2.12918,1,4,4,0
2.39668,0,1,3,0
2.41238,0,2,2,0
3.28967,0,3,1,0
3.46327,0,4,0,0
4.54621,1,5,1,0
5.03026,0,5,0,0
5.85113,1,6,1,0
5.91179,0,6,0,0
8.40794,1,7,1,0
8.58652,0,7,0,0
8.60044,1,8,1,0
9.362,0,8,0,0
9.63011,1,9,1,0
9.97974,1,10,2,0
10.5041,0,9,1,0
10.5298,1,11,2,0
10.8513,0,10,1,0
11.2059,0,11,0,0
12.0368,1,12,1,0
12.1153,0,12,0,0
12.6136,1,13,1,0
14.5612,0,13,0,0
15.7767,1,14,1,0
16.8639,0,14,0,0
17.8588,1,15,1,0
17.8616,0,15,0,0
18.5484,1,16,1,0
19.3089,0,16,0,0
20.2713,1,17,1,0
20.58,0,17,0,0
24.7824,1,18,1,0
25.1489,0,18,0,0
25.8029,1,19,1,0
26.0683,1,20,2,0
26.7412,0,19,1,0
27.1046,0,20,0,0
28.4801,1,21,1,0
28.6448,0,21,0,0
28.9378,1,22,1,0
29.428,0,22,0,0
30.0842,1,23,1,0
31.1124,1,24,2,0
31.4848,0,23,1,0
31.9552,1,25,2,0
32.0998,0,24,1,0
32.4961,0,25,0,0
33.1296,1,26,1,0
33.6395,1,27,2,0
36.0552,0,26,1,0
36.0627,0,27,0,0
36.84,1,28,1,0
37.1939,1,29,2,0
37.2212,1,30,3,0
37.5669,0,28,2,0
37.7963,0,29,1,0
38.2172,1,31,2,0
38.2852,1,32,3,0
38.621,1,33,4,0
39.0218,1,34,5,0
39.8975,0,30,4,0
40.587,0,31,3,0
41.4896,1,35,4,0
41.825,0,32,3,0
41.8645,1,36,4,0
43.1152,1,37,5,0
43.7967,1,38,6,0
43.8269,0,33,5,0
45.3171,0,34,4,0
45.7896,0,35,3,0
46.0492,0,36,2,0
46.487,0,37,1,0
46.8441,0,38,0,0
47.3632,1,39,1,0
48.4711,0,39,0,0
48.7735,1,40,1,0
49.6081,0,40,0,0
50.7067,1,41,1,0
51.202,0,41,0,0
52.6045,1,42,1,0
52.8256,1,43,2,0
54.4624,0,42,1,0
55.0156,0,43,0,0
56.0164,1,44,1,0
56.0918,1,45,2,0
56.7517,0,44,1,0
58.8115,1,46,2,0
58.8938,0,45,1,0
59.4028,0,46,0,0
60.4035,1,47,1,0
61.5691,0,47,0,0
61.9964,1,48,1,0
62.1451,1,49,2,0
62.5156,0,48,1,0
62.7672,0,49,0,0
62.8816,1,50,1,0
63.7177,1,51,2,0
63.7193,1,52,3,0
64.9461,0,50,2,0
64.965,0,51,1,0
65.9079,1,53,2,0
66.2171,1,54,3,0
66.6368,1,55,4,0
66.6518,0,52,3,0
69.3938,0,53,2,0
70.3852,1,56,3,0
71.0516,0,54,2,0
71.1379,1,57,3,0
71.3002,0,55,2,0
71.6413,0,56,1,0
72.0286,0,57,0,0
72.0922,1,58,1,0
72.3046,1,59,2,0
72.3066,1,60,3,0
72.3575,1,61,4,0
72.3951,0,58,3,0
72.6642,1,62,4,0
72.932,0,59,3,0
73.1829,0,60,2,0
73.8839,0,61,1,0
73.9533,0,62,0,0
74.008,1,63,1,0
74.5073,0,63,0,0
74.7334,1,64,1,0
74.9795,0,64,0,0
75.0088,1,65,1,0
75.4878,1,66,2,0
75.7257,1,67,3,0
75.9893,1,68,4,0
77.1052,1,69,5,0
77.1663,1,70,6,0
77.4882,0,65,5,0
77.5193,0,66,4,0
78.1065,0,67,3,0
78.3006,0,68,2,0
78.8661,1,71,3,0
80.9915,0,69,2,0
81.5372,1,72,3,0
81.6317,0,70,2,0
82.821,0,71,1,0
83.8187,1,73,2,0
84.4933,1,74,3,0
85.0583,1,75,4,0
85.483,0,72,3,0
86.6657,0,73,2,0
87.5447,1,76,3,0
88.4904,0,74,2,0
89.0401,1,77,3,0
89.5439,0,75,2,0
90.2998,1,78,3,0
90.4047,0,76,2,0
90.6542,1,79,3,0
91.8592,1,80,4,0
91.9132,1,81,5,0
92.432,1,82,6,0
93.1441,0,77,5,0
93.305,0,78,4,0
93.5018,1,83,5,0
93.7787,0,79,4,0
93.8047,0,80,3,0
94.6512,1,84,4,0
94.7403,1,85,5,0
95.646,0,81,4,0
95.9417,0,82,3,0
96.2483,1,86,4,0
96.7753,1,87,5,0
97.203,1,88,6,0
97.467,1,89,7,0
98.2629,0,83,6,0
98.5523,0,84,5,0
98.6288,1,90,6,0
98.8119,0,85,5,0
98.9498,1,91,6,0
99.1131,1,92,7,0
99.4629,1,93,8,0
100.347,1,94,9,0
100.782,1,95,10,0
101.681,0,86,9,0
102.032,0,87,8,0
103.008,1,96,9,0
103.172,0,88,8,0
104.997,1,97,9,0
105.262,0,89,8,0
105.338,0,90,7,0
106.163,1,98,8,0
106.488,1,99,9,0
107.538,1,100,10,0
107.626,0,91,9,0
109.41,0,92,8,0
109.587,1,101,9,0
109.876,0,93,8,0
109.992,0,94,7,0
111.159,1,102,8,0
111.894,0,95,7,0
112.07,1,103,8,0
112.537,1,104,9,0
113.843,0,96,8,0
113.844,1,105,9,0
114.267,0,97,8,0
116.334,1,106,9,0
116.478,1,107,10,0
117.454,0,98,9,0
117.51,0,99,8,0
118.464,0,100,7,0
118.503,0,101,6,0
118.976,0,102,5,0
119.721,0,103,4,0
120.053,0,104,3,0
120.875,0,105,2,0
120.914,1,108,3,0
121.809,0,106,2,0
122.401,0,107,1,0
122.428,0,108,0,0
122.797,1,109,1,0
123.17,1,110,2,0
123.436,0,109,1,0
123.555,1,111,2,0
123.574,1,112,3,0
123.654,0,110,2,0
124.505,0,111,1,0
124.616,0,112,0,0
125.541,1,113,1,0
125.682,1,114,2,0
125.963,1,115,3,0
126.861,0,113,2,0
128.205,0,114,1,0
129.232,1,116,2,0
129.927,0,115,1,0
130.216,0,116,0,0
131.176,1,117,1,0
131.473,0,117,0,0
131.635,1,118,1,0
132.126,0,118,0,0
132.467,1,119,1,0
132.777,0,119,0,0
133.037,1,120,1,0
133.09,1,121,2,0
133.477,1,122,3,0
134.034,1,123,4,0
134.946,1,124,5,0
135.084,0,120,4,0
135.36,1,125,5,0
136.077,1,126,6,0
136.183,1,127,7,0
136.521,1,128,8,0
136.814,0,121,7,0
139.287,1,129,8,0
139.736,1,130,9,0
140.65,0,122,8,0
140.926,0,123,7,0
141.393,0,124,6,0
142.318,1,131,7,0
142.788,0,125,6,0
142.998,1,132,7,0
143.609,1,133,8,0
144.536,1,134,9,0
145.097,0,126,8,0
145.534,0,127,7,0
146.099,0,128,6,0
146.296,0,129,5,0
146.538,0,130,4,0
146.95,0,131,3,0
147.555,0,132,2,0
147.601,0,133,1,0
148.449,1,135,2,0
